base,source,symbol,rows,first_utc,last_utc,days,delisted
0G,binance,0GUSDT,464454,2025-09-17,2026-08-06,323,0
10000000AIDOGE,bybit_trades,10000000AIDOGEUSDT,553150,2024-03-05,2025-04-28,420,1
1000000BABYDOGE,bybit,1000000BABYDOGEUSDT,1131324,2024-06-11,2026-08-06,786,0
1000000BOB,binance,1000000BOBUSDT,614649,2025-06-05,2026-08-06,428,0
1000000CHEEMS,bybit_trades,1000000CHEEMSUSDT,510324,2024-11-25,2026-05-28,550,1
1000000MOG,binance,1000000MOGUSDT,916809,2024-11-07,2026-08-06,637,0
1000000PEIPEI,bybit_trades,1000000PEIPEIUSDT,571603,2024-07-04,2025-10-17,472,1
1000000VINU,bybit_trades,1000000VINUUSDT,96282,2023-11-28,2024-02-06,71,1
10000COQ,bybit_trades,10000COQUSDT,657396,2024-03-12,2025-10-06,574,1
10000ELON,bybit_trades,10000ELONUSDT,258545,2025-02-10,2026-02-06,362,1
10000LADYS,bybit_trades,10000LADYSUSDT,1155584,2023-05-11,2025-10-06,879,1
10000NEX,bybit,10000NEXUSDT,110662,2026-05-21,2026-08-06,78,0
10000NFT,bybit_trades,10000NFTUSDT,408798,2023-01-01,2024-09-18,627,1
10000QUBIC,bybit_trades,10000QUBICUSDT,502228,2024-12-24,2026-05-14,507,1
10000SATS,bybit,10000SATSUSDT,1430850,2023-11-16,2026-08-06,994,0
10000STARL,bybit_trades,10000STARLUSDT,374745,2023-10-20,2024-08-01,287,1
10000WEN,bybit_trades,10000WENUSDT,827173,2024-01-31,2025-10-17,627,1
10000WHY,bybit_trades,10000WHYUSDT,393809,2024-10-04,2025-09-03,335,1
1000APU,bybit_trades,1000APUUSDT,515074,2024-06-20,2025-07-11,387,1
1000BEER,bybit_trades,1000BEERUSDT,206586,2024-05-31,2024-10-22,145,1
1000BONK,binance,1000BONKUSDT,1422159,2023-11-22,2026-08-06,988,0
1000BTT,bybit,1000BTTUSDT,1890999,2023-01-01,2026-08-06,1314,0
1000CAT,binance,1000CATUSDT,941289,2024-10-21,2026-08-06,654,0
1000CATS,bybit_trades,1000CATSUSDT,303578,2024-10-11,2025-07-05,268,1
1000CHEEMS,binance,1000CHEEMSUSDT,890934,2024-11-25,2026-08-06,620,0
1000FLOKI,binance,1000FLOKIUSDT,1710009,2023-05-06,2026-08-06,1188,0
1000IQ50,bybit_trades,1000IQ50USDT,154927,2024-03-19,2024-07-08,111,1
1000LUNC,binance,1000LUNCUSDT,1890999,2023-01-01,2026-08-06,1314,0
1000MUMU,bybit_trades,1000MUMUUSDT,356132,2024-09-23,2025-06-12,263,1
1000NEIROCTO,bybit,1000NEIROCTOUSDT,991753,2024-09-16,2026-08-06,690,0
1000PEPE,binance,1000PEPEUSDT,1711449,2023-05-05,2026-08-06,1189,0
1000RATS,binance,1000RATSUSDT,1389039,2023-12-15,2026-08-06,965,0
1000SATS,binance,1000SATSUSDT,1393359,2023-12-12,2026-08-06,968,0
1000SHIB,binance,1000SHIBUSDT,1890999,2023-01-01,2026-08-06,1314,0
1000TAG,bybit,1000TAGUSDT,538289,2025-07-28,2026-08-06,375,0
1000TOSHI,bybit,1000TOSHIUSDT,876640,2024-12-05,2026-08-06,610,0
1000TURBO,bybit,1000TURBOUSDT,1279630,2024-02-29,2026-08-06,889,0
1000WHY,binance,1000WHYUSDT,889229,2024-11-25,2026-08-04,619,0
1000X,binance,1000XUSDT,906450,2024-11-13,2026-08-04,630,0
1000XEC,binance,1000XECUSDT,1890999,2023-01-01,2026-08-06,1314,0
1CAT,bybit_trades,1CATUSDT,512331,2023-12-27,2025-01-22,392,1
1INCH,binance,1INCHUSDT,1890999,2023-01-01,2026-08-06,1314,0
1MBABYDOGE,binance,1MBABYDOGEUSDT,991744,2024-09-16,2026-08-06,690,0
2Z,binance,2ZUSDT,443046,2025-10-02,2026-08-06,308,0
4,binance,4USDT,434469,2025-10-08,2026-08-06,303,0
42,binance,42USDT,405450,2025-10-27,2026-08-04,283,0
A,binance,AUSDT,626198,2025-05-28,2026-08-06,436,0
A2Z,binance,A2ZUSDT,533760,2025-07-30,2026-08-04,372,0
A8,bybit_trades,A8USDT,546297,2024-07-22,2025-11-21,487,1
AAL,bybit,AALUSDT,19836,2026-07-23,2026-08-06,15,0
AAOI,binance,AAOIUSDT,83230,2026-06-09,2026-08-06,59,0
AAPL,binance,AAPLUSDT,143735,2026-04-28,2026-08-06,101,0
AAVE,binance,AAVEUSDT,1890999,2023-01-01,2026-08-06,1314,0
ACE,binance,ACEUSDT,1384959,2023-12-18,2026-08-06,963,0
ACH,binance,ACHUSDT,1815249,2023-02-22,2026-08-06,1261,0
ACT,binance,ACTUSDT,911064,2024-11-11,2026-08-06,633,0
ACU,binance,ACUUSDT,283194,2026-01-21,2026-08-06,197,0
ACX,binance,ACXUSDT,874899,2024-12-06,2026-08-06,608,0
ADA,binance,ADAUSDT,1890999,2023-01-01,2026-08-06,1314,0
ADBE,binance,ADBEUSDT,54461,2026-06-29,2026-08-06,39,0
AEHR,bybit,AEHRUSDT,29905,2026-07-16,2026-08-06,22,0
AERGO,binance,AERGOUSDT,980685,2024-09-10,2026-07-23,682,0
AERO,binance,AEROUSDT,877824,2024-12-04,2026-08-06,610,0
AEVO,binance,AEVOUSDT,1260909,2024-03-13,2026-08-06,876,0
AGI,bybit,AGIUSDT,1429566,2023-11-17,2026-08-06,994,0
AGIX,binance,AGIXUSDT,1822185,2023-02-16,2026-08-04,1266,0
AGLD,binance,AGLDUSDT,1589889,2023-07-29,2026-08-06,1105,0
AGT,binance,AGTUSDT,637569,2025-05-20,2026-08-06,444,0
AI,binance,AIUSDT,1352850,2024-01-08,2026-08-04,940,0
AI16Z,binance,AI16ZUSDT,836094,2025-01-02,2026-08-06,581,0
AIA,binance,AIAUSDT,462774,2025-09-18,2026-08-06,323,0
AIGENSYN,binance,AIGENSYNUSDT,141984,2026-04-29,2026-08-06,99,0
AIN,binance,AINUSDT,564114,2025-07-10,2026-08-06,393,0
AIO,binance,AIOUSDT,515109,2025-08-13,2026-08-06,359,0
AIOT,binance,AIOTUSDT,666249,2025-04-30,2026-08-06,463,0
AIOZ,bybit,AIOZUSDT,1128632,2024-06-13,2026-08-06,785,0
AIXBT,binance,AIXBTUSDT,854528,2024-12-20,2026-08-06,594,0
AKE,binance,AKEUSDT,451689,2025-09-26,2026-08-06,314,0
AKT,binance,AKTUSDT,901029,2024-11-18,2026-08-06,627,0
ALAB,binance,ALABUSDT,54463,2026-06-29,2026-08-06,39,0
ALCH,binance,ALCHUSDT,829014,2025-01-07,2026-08-06,577,0
ALEO,bybit_trades,ALEOUSDT,579547,2024-09-19,2026-01-24,493,1
ALGO,binance,ALGOUSDT,1890999,2023-01-01,2026-08-06,1314,0
ALICE,binance,ALICEUSDT,1890999,2023-01-01,2026-08-06,1314,0
ALL,binance,ALLUSDT,525309,2025-08-06,2026-08-06,366,0
ALLO,binance,ALLOUSDT,385358,2025-11-11,2026-08-06,268,0
