base,symbol,source
0G,0GUSDT,binance
1000000BOB,1000000BOBUSDT,binance
1000000MOG,1000000MOGUSDT,binance
1000BONK,1000BONKUSDT,binance
1000BTTC,1000BTTCUSDT,binance
1000CAT,1000CATUSDT,binance
1000CHEEMS,1000CHEEMSUSDT,binance
1000FLOKI,1000FLOKIUSDT,binance
1000LUNC,1000LUNCUSDT,binance
1000PEPE,1000PEPEUSDT,binance
1000RATS,1000RATSUSDT,binance
1000SATS,1000SATSUSDT,binance
1000SHIB,1000SHIBUSDT,binance
1000WHY,1000WHYUSDT,binance
1000X,1000XUSDT,binance
1000XEC,1000XECUSDT,binance
1INCH,1INCHUSDT,binance
1MBABYDOGE,1MBABYDOGEUSDT,binance
2Z,2ZUSDT,binance
4,4USDT,binance
42,42USDT,binance
A,AUSDT,binance
A2Z,A2ZUSDT,binance
AAOI,AAOIUSDT,binance
AAPL,AAPLUSDT,binance
AAVE,AAVEUSDT,binance
ACE,ACEUSDT,binance
ACH,ACHUSDT,binance
ACT,ACTUSDT,binance
ACU,ACUUSDT,binance
ACX,ACXUSDT,binance
ADA,ADAUSDT,binance
ADBE,ADBEUSDT,binance
AERGO,AERGOUSDT,binance
AERO,AEROUSDT,binance
AEVO,AEVOUSDT,binance
AGIX,AGIXUSDT,binance
AGLD,AGLDUSDT,binance
AGT,AGTUSDT,binance
AI,AIUSDT,binance
AI16Z,AI16ZUSDT,binance
AIA,AIAUSDT,binance
AIGENSYN,AIGENSYNUSDT,binance
AIN,AINUSDT,binance
AIO,AIOUSDT,binance
AIOT,AIOTUSDT,binance
AIXBT,AIXBTUSDT,binance
AKE,AKEUSDT,binance
AKRO,AKROUSDT,binance
AKT,AKTUSDT,binance
ALAB,ALABUSDT,binance
ALCH,ALCHUSDT,binance
ALGO,ALGOUSDT,binance
ALICE,ALICEUSDT,binance
ALL,ALLUSDT,binance
ALLO,ALLOUSDT,binance
ALPACA,ALPACAUSDT,binance
ALPHA,ALPHAUSDT,binance
ALPINE,ALPINEUSDT,binance
ALT,ALTUSDT,binance
AMAT,AMATUSDT,binance
AMB,AMBUSDT,binance
AMD,AMDUSDT,binance
AMZN,AMZNUSDT,binance
ANC,ANCUSDT,binance
ANIME,ANIMEUSDT,binance
ANKR,ANKRUSDT,binance
ANT,ANTUSDT,binance
ANTHROPIC,ANTHROPICUSDT,binance
APE,APEUSDT,binance
API3,API3USDT,binance
APP,APPUSDT,binance
APR,APRUSDT,binance
APT,APTUSDT,binance
AR,ARUSDT,binance
ARB,ARBUSDT,binance
ARC,ARCUSDT,binance
ARIA,ARIAUSDT,binance
ARK,ARKUSDT,binance
