stem,res,W,H,model,channels,render,novol,detrend,px,img_h,top,bases,lr,0,1,2,3,hit_min,hit_max
full_i1_c3_relbin_1d_W20_H20,1d,20,20,i1,c3,bar,False,,3,96,200,,,-0.04487115885990534,-0.104303870188167,-0.034791204984562354,0.06626624501000289,0.4278937381404175,0.5085130533484676
full_i1_c3_relbin_4h_W60_H42,4h,60,42,i1,c3,bar,False,,3,96,200,,,-0.06463854399406047,-0.0672884383587431,-0.044476746573641576,0.07336731992193093,0.3991918025689133,0.49812734082397003
full_i1_c3m_relbin_1d_W20_H20,1d,20,20,i1,c3m,bar,False,False,3,96,200,,,-0.04968936987253425,0.08904901815243943,-0.01566822201939487,0.003103343604846931,0.42112482853223593,0.4888663967611336
full_i1_liq_1d_W20_H20,1d,20,20,i1,gray,bar,False,False,3,96,200,@work/liq12_,,0.0019785323421028234,0.09138049037235216,-0.08737939095334751,0.10718016817514649,0.398,0.5046854082998661
full_i1_liq_4h_W60_H42,4h,60,42,i1,gray,bar,False,False,3,96,200,@work/liq12_,,0.052855856975393675,-0.034008463862743414,0.0006624392861637705,0.07555148957813543,0.44010614101592116,0.48830811554332876
full_i1_multi_relbin_1d_W20_H20,1d,20,20,i1,multi,bar,False,,3,96,200,,,0.03414189346991468,-0.0443472460369041,-0.04849997239858306,0.030466621341058556,0.44866920152091255,0.5078206465067779
full_i1_multi_relbin_4h_W60_H42,4h,60,42,i1,multi,bar,False,,3,96,200,,,-0.0764152614359486,-0.08675610401081263,0.033521863258224135,0.03601226254743836,0.3940383830134749,0.4872705743043221
full_i1_multi_relbin_detrend_1d_W20_H20,1d,20,20,i1,multi,bar,False,True,3,96,200,,,0.008191910008834673,-0.005732649200266143,0.034411412479116464,-0.05141476178962409,0.4329608938547486,0.49550561797752807
full_i1_multi_relbin_detrend_4h_W60_H42,4h,60,42,i1,multi,bar,False,True,3,96,200,,,-0.016406091875807233,-0.13597823250239996,0.04576149965248573,0.06811749121406467,0.42378467453996155,0.47541360294117646
full_i1_relbin_1d_W20_H20,1d,20,20,i1,gray,bar,False,,3,96,200,,,0.002033768574756515,-0.029253143231942558,-0.13938740053919735,0.026265733762549877,0.4424,0.48212226066897346
full_i1_relbin_1d_W60_H20,1d,60,20,i1,gray,bar,False,,3,96,200,,,-0.16782704201043872,-0.07373996593088393,0.16014738801736642,0.026513201551020278,0.39763779527559057,0.5621301775147929
full_i1_relbin_1h_W60_H168,1h,60,168,i1,gray,bar,False,,3,96,200,,,-0.02269308707592415,-0.005191690161857642,-0.02504137468364378,0.010736731449771983,0.41251027678816116,0.4854478854478855
full_i1_relbin_4h_W120_H42,4h,120,42,i1,gray,bar,False,,3,96,200,,,0.0508310395522772,0.03257669553511583,-0.022551804663763816,0.07247540150106513,0.44679089026915114,0.4803874092009685
full_i1_relbin_4h_W20_H42,4h,20,42,i1,gray,bar,False,,3,96,200,,,-0.046397130663664445,-0.02110442659419395,-0.008158888691481452,-0.020763890552285703,0.40164469390419005,0.46619217081850534
full_i1_relbin_4h_W60_H42,4h,60,42,i1,gray,bar,False,,3,96,200,,,-0.09567548959907266,-0.07156466052634168,0.03867944930780802,0.06549618604701404,0.3916056988833269,0.5039464243004066
full_i1_relbin_detrend_1d_W20_H20,1d,20,20,i1,gray,bar,False,True,3,96,200,,,-0.05944606400965794,-0.0047849760595459895,-0.003679585994052166,0.10719710752945943,0.41659819227608874,0.47280334728033474
full_i1_relbin_detrend_1d_W60_H20,1d,60,20,i1,gray,bar,False,True,3,96,200,,,-0.218726692339903,-0.17354315236854276,0.08326410220290051,-0.08094138693518499,0.3420074349442379,0.5624142661179699
full_i1_relbin_detrend_4h_W60_H42,4h,60,42,i1,gray,bar,False,True,3,96,200,,,0.0060190906614238805,-0.08423226308651645,0.023441886889530836,0.1209272088651309,0.3975022502250225,0.48635176833610255
full_i1_relbin_h64_1d_W20_H20,1d,20,20,i1,gray,bar,False,,3,64,200,,,-0.04996693836985474,-0.06281936631921833,-0.030926021944193312,0.06005293419409868,0.425569176882662,0.5316455696202531
full_i1_relbin_lr1e-4_1d_W20_H20,1d,20,20,i1,gray,bar,False,,3,96,200,,0.0001,-0.10330095528215205,-0.042627215736997515,-0.02277616610020166,0.044634746653682736,0.4218472468916519,0.4670967741935484
full_i1_relbin_novol_1d_W20_H20,1d,20,20,i1,gray,bar,True,False,3,96,200,,,0.0973954423731879,0.012364695395815181,-0.15357002042037562,-0.05249673030754073,0.4375796178343949,0.4846153846153846
full_i1_relbin_novol_4h_W60_H42,4h,60,42,i1,gray,bar,True,,3,96,200,,,-0.13123485219775585,-0.0487776385698418,0.01601989465405411,0.05591172468185272,0.37541480305872166,0.488139281828074
full_i1_relbin_px5_1d_W20_H20,1d,20,20,i1,gray,bar,False,,5,96,200,,,-0.17911482254139283,5.270259988254811e-06,-0.13201642668680993,0.08559307581346318,0.38282763072950293,0.4802816901408451
full_i1_relbin_top100_1d_W20_H20,1d,20,20,i1,gray,bar,False,,3,96,100,,,-0.14514085904949947,0.12261393782132098,0.01600070766673259,0.15748956483187637,0.35495716034271724,0.5392156862745098
full_i1_relbin_top400_1d_W20_H20,1d,20,20,i1,gray,bar,False,False,3,96,400,,,0.002033768574756515,-0.009460096680050281,-0.1838485738445532,0.026265733762549877,0.4424,0.48037190082644626
full_i1_top200keep_relbin_1d_W20_H20,1d,20,20,i1,gray,bar,False,,3,96,200,,,0.002033768574756515,-0.029253143231942558,-0.13938740053919735,0.026265733762549877,0.4424,0.48212226066897346
