stem,grid,channels,variant,f0,f1,f2,f3,mean,n_pos,n_pass,hit_min,hit_max,hit_top_mean,hit_bot_mean
full_i1_c3_relbin_1d_W20_H20,1d·20·20,3채널(+밀도·시각),—,-0.0448711588599053,-0.104303870188167,-0.0347912049845623,0.0662662450100028,-0.0294249972556579,1,0,0.4278937381404175,0.5085130533484676,0.4562356595225642,0.5439611759859433
full_i1_c3m_relbin_1d_W20_H20,1d·20·20,3채널+BTC 매크로,—,-0.0496893698725342,0.0890490181524394,-0.0156682220193948,0.0031033436048469,0.0066986924663393,2,0,0.4211248285322359,0.4888663967611336,0.45232998573650757,0.5359897027308838
full_i1_multi_relbin_1d_W20_H20,1d·20·20,5채널(+밀도·30일 거래량·시각·요일),—,0.0341418934699146,-0.0443472460369041,-0.048499972398583,0.0304666213410585,-0.0070596759061285,2,0,0.4486692015209125,0.5078206465067779,0.4757229006665121,0.5409555245161795
full_i1_relbin_1d_W20_H20,1d·20·20,흑백,—,0.0020337685747565,-0.0292531432319425,-0.1393874005391973,0.0262657337625498,-0.0350852603584583,2,0,0.4424,0.4821222606689734,0.45939225021488383,0.5494097194576972
full_i1_relbin_novol_1d_W20_H20,1d·20·20,흑백,거래량 제외,0.0973954423731879,0.0123646953958151,-0.1535700204203756,-0.0524967303075407,-0.0240766532397283,2,0,0.4375796178343949,0.4846153846153846,0.46324260594565153,0.5536331800739777
full_i1_relbin_h64_1d_W20_H20,1d·20·20,흑백,높이 64px,-0.0499669383698547,-0.0628193663192183,-0.0309260219441933,0.0600529341940986,-0.0209148481097919,1,0,0.425569176882662,0.5316455696202531,0.46501360282781096,0.5713366076227399
full_i1_relbin_px5_1d_W20_H20,1d·20·20,흑백,봉 폭 5px,-0.1791148225413928,5.270259988254811e-06,-0.1320164266868099,0.0855930758134631,-0.0563832257886878,2,0,0.3828276307295029,0.4802816901408451,0.4521845935120098,0.5427956297993948
full_i1_relbin_top100_1d_W20_H20,1d·20·20,흑백,종목 100,-0.1451408590494994,0.1226139378213209,0.0160007076667325,0.1574895648318763,0.0377408378176075,3,0,0.3549571603427172,0.5392156862745098,0.45898090626826016,0.5573920418123999
full_i1_relbin_top400_1d_W20_H20,1d·20·20,흑백,종목 400,0.0020337685747565,-0.0094600966800502,-0.1838485738445532,0.0262657337625498,-0.0412522920468242,2,0,0.4424,0.4803719008264462,0.4560362960555504,0.5500841295388466
full_i1_multi_relbin_detrend_1d_W20_H20,1d·20·20,5채널(+밀도·30일 거래량·시각·요일),추세 제거,0.0081919100088346,-0.0057326492002661,0.0344114124791164,-0.051414761789624,-0.0036360221254847,2,0,0.4329608938547486,0.495505617977528,0.45712746268563875,0.5623791567807344
full_i1_relbin_detrend_1d_W20_H20,1d·20·20,흑백,추세 제거,-0.0594460640096579,-0.0047849760595459,-0.0036795859940521,0.1071971075294594,0.0098216203665508,1,0,0.4165981922760887,0.4728033472803347,0.45011501626915096,0.580294198291448
full_i1_liq_1d_W20_H20,1d·20·20,흑백,폴드별 유동성 유니버스,0.0019785323421028,0.0913804903723521,-0.0873793909533475,0.1071801681751464,0.0282899499840634,3,0,0.398,0.5046854082998661,0.4562203558496829,0.5444517569370664
full_i1_relbin_lr1e-4_1d_W20_H20,1d·20·20,흑백,학습률 1e-4,-0.103300955282152,-0.0426272157369975,-0.0227761661002016,0.0446347466536827,-0.0310173976164171,1,0,0.4218472468916519,0.4670967741935484,0.4497572289941485,0.5657785870425223
full_i1_relbin_1d_W60_H20,1d·60·20,흑백,—,-0.1678270420104387,-0.0737399659308839,0.1601473880173664,0.0265132015510202,-0.0137266045932339,2,0,0.3976377952755905,0.5621301775147929,0.44762391216554587,0.5793293816691889
