H,seed,fold,kind,sharpe,p,final,days
5,_sd0,0,longshort_c0.001,-2.77,0.8876,0.939,62
5,_sd0,0,longonly_c0.002,-3.87,0.9782,0.9005,62
5,_sd0,0,longshort_c0,-1.65,0.7648,0.9627,62
5,_sd0,1,longshort_c0.001,-2.68,0.8134,0.9368,64
5,_sd0,1,longonly_c0.002,-6.53,0.983,0.8767,64
5,_sd0,1,longshort_c0,-1.6,0.7027,0.9611,64
5,_sd0,2,longshort_c0.001,-0.8,0.7078,0.9864,66
5,_sd0,2,longonly_c0.002,-7.9,0.9998,0.8863,66
5,_sd0,2,longshort_c0,0.83,0.2856,1.0128,66
10,_sd0,0,longshort_c0.001,-0.31,0.5603,0.9918,65
10,_sd0,0,longonly_c0.002,-0.86,0.6591,0.9715,65
10,_sd0,0,longshort_c0,0.88,0.3341,1.0183,65
10,_sd0,1,longshort_c0.001,-1.01,0.7284,0.9815,67
10,_sd0,1,longonly_c0.002,0.21,0.4639,1.0029,67
10,_sd0,1,longshort_c0,0.52,0.3775,1.0084,67
10,_sd0,2,longshort_c0.001,-1.45,0.7114,0.9708,69
10,_sd0,2,longonly_c0.002,-0.77,0.6956,0.9858,69
10,_sd0,2,longshort_c0,-0.04,0.5061,0.9982,69
10,_sd1,0,longshort_c0.001,-0.33,0.5672,0.9892,65
10,_sd1,0,longonly_c0.002,-1.91,0.8207,0.9301,65
10,_sd1,0,longshort_c0,0.65,0.3695,1.0156,65
10,_sd1,1,longshort_c0.001,-1.59,0.7668,0.9655,67
10,_sd1,1,longonly_c0.002,-1.31,0.7389,0.9721,67
10,_sd1,1,longshort_c0,-0.32,0.559,0.9919,67
10,_sd1,2,longshort_c0.001,0.32,0.4344,1.0058,69
10,_sd1,2,longonly_c0.002,0.7,0.3281,1.0125,69
10,_sd1,2,longshort_c0,1.6,0.2071,1.0342,69
10,_sd2,0,longshort_c0.001,-0.99,0.6643,0.9741,65
10,_sd2,0,longonly_c0.002,-1.92,0.7677,0.9389,65
10,_sd2,0,longshort_c0,0.07,0.4876,1.0001,65
10,_sd2,1,longshort_c0.001,-3.55,0.9055,0.9047,67
10,_sd2,1,longonly_c0.002,-2.9,0.8838,0.9264,67
10,_sd2,1,longshort_c0,-2.57,0.8296,0.9295,67
10,_sd2,2,longshort_c0.001,0.8,0.3732,1.0194,69
10,_sd2,2,longonly_c0.002,-3.03,0.9609,0.9319,69
10,_sd2,2,longshort_c0,1.87,0.2257,1.0481,69
20,_sd0,0,longshort_c0.001,-2.67,0.9897,0.9227,72
20,_sd0,0,longonly_c0.002,-1.96,0.9149,0.9463,72
20,_sd0,0,longshort_c0,-2.42,0.9822,0.9295,72
20,_sd0,1,longshort_c0.001,0.77,0.3125,1.0141,74
20,_sd0,1,longonly_c0.002,1.66,0.2181,1.0288,74
20,_sd0,1,longshort_c0,1.16,0.2305,1.0217,74
20,_sd0,2,longshort_c0.001,0.03,0.4956,0.9992,76
20,_sd0,2,longonly_c0.002,-2.17,0.8152,0.9569,76
20,_sd0,2,longshort_c0,0.34,0.4433,1.0069,76
20,_sd1,0,longshort_c0.001,-1.34,0.8468,0.9625,72
20,_sd1,0,longonly_c0.002,-2.48,0.9429,0.9225,72
20,_sd1,0,longshort_c0,-0.8,0.7292,0.9768,72
20,_sd1,1,longshort_c0.001,-1.68,0.8182,0.9475,74
20,_sd1,1,longonly_c0.002,1.09,0.1697,1.0246,74
20,_sd1,1,longshort_c0,-1.19,0.7398,0.9619,74
20,_sd1,2,longshort_c0.001,-2.43,0.8946,0.9359,76
20,_sd1,2,longonly_c0.002,-5.28,0.9941,0.9052,76
20,_sd1,2,longshort_c0,-1.85,0.8297,0.9505,76
20,_sd2,0,longshort_c0.001,-1.58,0.9125,0.9516,72
20,_sd2,0,longonly_c0.002,-2.65,0.9899,0.9149,72
20,_sd2,0,longshort_c0,-1.33,0.8741,0.9586,72
20,_sd2,1,longshort_c0.001,-2.54,0.8891,0.929,74
20,_sd2,1,longonly_c0.002,-2.79,0.9045,0.9321,74
20,_sd2,1,longshort_c0,-2.27,0.8629,0.936,74
20,_sd2,2,longshort_c0.001,-2.37,0.843,0.9466,76
20,_sd2,2,longonly_c0.002,-5.75,0.9971,0.9008,76
20,_sd2,2,longshort_c0,-2.03,0.8056,0.9539,76
