variant,n_seeds,seed_pooled_mean,seed_pooled_min,ens_sharpe,ens_p,ens_mdd,ens_folds
기준(시드 0~2),3,2.56,2.29,3.01,0.0001,-4.1,1.45 · 2.93 · 4.04 · 5.02
행 순열,3,2.34,2.0,2.48,0.0001,-4.5,2.17 · 2.73 · 1.5 · 4.67
봉 순열,3,2.75,2.47,3.16,0.0001,-4.0,1.44 · 2.65 · 5.11 · 4.95
기준(시드 0·1),2,2.6,2.29,2.81,0.0003,-4.2,1.86 · 2.69 · 3.35 · 4.3
가격 4행 제거,2,2.3,2.07,2.45,0.0005,-5.5,0.88 · 2.88 · 1.8 · 5.66
거래량 2행 제거,2,2.5,2.28,2.74,0.0002,-4.8,1.62 · 2.69 · 2.56 · 5.65
순위 3행 제거,2,2.33,2.08,2.53,0.0008,-5.0,0.95 · 2.29 · 3.85 · 4.03
피처 27행 제거,2,2.13,1.6,2.18,0.0006,-6.8,0.69 · 2.16 · 3.21 · 4.0
횡단면 피처 10행 제거,2,2.3,2.25,2.58,0.0004,-5.8,3.17 · 1.73 · 3.19 · 4.47
"시각·요일 2행 제거(≈0 행, 대조)",1,3.01,3.01,,,,
