model,A,B,C,D,pooled,p,mdd
m1 시드 0,2.34,2.04,1.96,2.1,1.97,0.0074,-7.2
m1 시드 1,4.64,1.98,2.96,2.85,2.78,0.0003,-5.3
m1 시드 2,2.38,1.69,3.06,2.82,2.29,0.0007,-5.7
m1 시드 3개 앙상블,3.33,1.62,2.85,2.48,2.31,0.0016,-5.8
m2 시드 0,2.98,2.76,2.14,0.45,2.02,0.0018,-8.6
m2 시드 1,2.52,2.66,3.08,0.25,2.15,0.0008,-8.4
m2 시드 2,3.03,2.63,2.33,0.81,2.15,0.0008,-7.5
m2 시드 3개 앙상블,2.83,2.59,2.34,0.57,2.05,0.0016,-8.2
heatf 소형 CNN 시드 3개 앙상블,5.02,4.04,2.93,1.45,3.01,0.0001,-4.1
heatf 소형 CNN 시드 10개 앙상블,5.59,4.95,2.92,2.28,3.53,0.0,-4.2
LightGBM v2 (같은 피처 37개),4.48,2.68,1.54,1.22,2.18,0.0005,-5.7
