mask,rows,bars,spearman,abs_delta_over_sd,top_kept,bot_kept
price×t0,4,10,0.9937,0.0915,0.932,0.896
price×t1,4,10,0.996,0.0673,0.954,0.918
price×t2,4,10,0.9983,0.0451,0.958,0.958
price×t3,4,10,0.9983,0.0424,0.966,0.952
price×t4,4,10,0.9986,0.0533,0.96,0.96
price×t5,4,10,0.9996,0.0198,0.988,0.98
vol×t0,2,10,0.9992,0.0306,0.98,0.962
vol×t1,2,10,0.9993,0.0248,0.978,0.978
vol×t2,2,10,0.999,0.0283,0.974,0.978
vol×t3,2,10,0.9991,0.0287,0.968,0.972
vol×t4,2,10,0.9994,0.0247,0.974,0.982
vol×t5,2,10,0.9992,0.0293,0.978,0.974
time×t0,2,10,0.9999,0.0111,0.982,0.986
time×t1,2,10,0.9999,0.0114,0.99,0.988
time×t2,2,10,0.9998,0.0123,0.99,0.988
time×t3,2,10,0.9998,0.0124,0.988,0.986
time×t4,2,10,0.9999,0.0091,0.984,0.994
time×t5,2,10,0.9999,0.0103,0.988,0.986
rank×t0,3,10,0.992,0.1087,0.926,0.888
rank×t1,3,10,0.9926,0.0935,0.92,0.898
rank×t2,3,10,0.9935,0.0844,0.94,0.928
rank×t3,3,10,0.9939,0.0859,0.926,0.918
rank×t4,3,10,0.9957,0.0709,0.938,0.93
rank×t5,3,10,0.9953,0.0915,0.926,0.916
feat27×t0,27,10,0.9947,0.0915,0.918,0.934
feat27×t1,27,10,0.9942,0.0982,0.88,0.932
feat27×t2,27,10,0.9945,0.0996,0.902,0.92
feat27×t3,27,10,0.9944,0.104,0.9,0.93
feat27×t4,27,10,0.9955,0.1034,0.92,0.942
feat27×t5,27,10,0.9957,0.0861,0.92,0.92
xs10×t0,10,10,0.9955,0.0888,0.878,0.948
xs10×t1,10,10,0.9947,0.092,0.882,0.948
xs10×t2,10,10,0.9938,0.0998,0.862,0.94
xs10×t3,10,10,0.9944,0.0979,0.876,0.944
xs10×t4,10,10,0.9937,0.1007,0.866,0.936
xs10×t5,10,10,0.9951,0.0921,0.884,0.95
price,4,60,0.9717,0.1763,0.864,0.784
vol,2,60,0.9925,0.0895,0.914,0.902
time,2,60,0.9993,0.0303,0.968,0.972
rank,3,60,0.9368,0.3177,0.705,0.754
feat27,27,60,0.7588,0.5188,0.505,0.506
xs10,10,60,0.617,0.5382,0.399,0.596
row0:o,1,60,0.998,0.0539,0.964,0.948
row1:h,1,60,0.9986,0.0442,0.966,0.96
row2:l,1,60,0.9942,0.0988,0.946,0.896
row3:c,1,60,0.9884,0.1315,0.9,0.872
row4:v/창평균,1,60,0.9925,0.0887,0.914,0.906
row5:v/30일,1,60,0.9996,0.0197,0.978,0.98
row6:hour,1,60,1.0,0.004,0.994,0.998
row7:dow,1,60,0.9993,0.0302,0.972,0.972
row8:xs_r24,1,60,0.9741,0.1775,0.854,0.806
row9:xs_vol24,1,60,0.9761,0.1732,0.758,0.838
row10:xs_vrel,1,60,0.9621,0.2019,0.796,0.83
row11:ret_1,1,60,0.9987,0.0321,0.972,0.95
row12:ret_5,1,60,0.9978,0.0421,0.958,0.958
row13:ret_q,1,60,0.9969,0.0501,0.954,0.934
row14:ret_W,1,60,0.9919,0.0871,0.914,0.918
row15:vol_W,1,60,0.9921,0.0825,0.898,0.926
row16:vol_q,1,60,0.996,0.0636,0.922,0.95
row17:vol_ratio,1,60,0.9933,0.0753,0.926,0.902
row18:rng_mean,1,60,0.9844,0.1021,0.862,0.914
row19:rng_last_rel,1,60,0.9963,0.0556,0.932,0.952
row20:pos_W,1,60,0.985,0.1177,0.872,0.886
row21:z_W,1,60,0.9887,0.1013,0.89,0.896
row22:c_maq,1,60,0.9942,0.0645,0.958,0.922
row23:c_maW,1,60,0.9969,0.05,0.966,0.932
row24:maq_maW,1,60,0.991,0.0859,0.922,0.884
row25:rsi,1,60,0.9823,0.1197,0.862,0.9
row26:v_last_rel,1,60,0.9914,0.0757,0.928,0.928
row27:v_recent_share,1,60,0.9742,0.1421,0.88,0.834
row28:qv_rel30,1,60,0.9686,0.1432,0.882,0.838
row29:amihud,1,60,0.8895,0.3661,0.645,0.764
row30:top5_share,1,60,0.9513,0.2209,0.778,0.788
row31:hhi,1,60,0.9654,0.1649,0.832,0.834
row32:n_spike,1,60,0.9431,0.2093,0.806,0.792
row33:zero_ratio,1,60,0.9999,0.001,0.998,1.0
row34:updown_vol,1,60,0.9765,0.1379,0.876,0.86
row35:n_big,1,60,0.9693,0.1621,0.808,0.854
row36:hour,1,60,0.9816,0.1312,0.884,0.89
row37:dow,1,60,0.9808,0.1302,0.884,0.886
row38:xs_ret_W,1,60,0.9682,0.1774,0.766,0.848
row39:xs_ret_q,1,60,0.9755,0.1535,0.828,0.848
row40:xs_vol_W,1,60,0.9557,0.2127,0.719,0.806
row41:xs_vol_ratio,1,60,0.9715,0.1705,0.86,0.798
row42:xs_rng_mean,1,60,0.7171,0.4201,0.497,0.702
row43:xs_qv_rel30,1,60,0.9336,0.2581,0.788,0.746
row44:xs_amihud,1,60,0.9354,0.25,0.637,0.836
row45:xs_v_last_rel,1,60,0.9898,0.0987,0.898,0.894
row46:xs_rsi,1,60,0.9886,0.1021,0.89,0.904
row47:xs_z_W,1,60,0.9892,0.102,0.902,0.886
