mask,rows,bars,spearman,abs_delta_over_sd,top_kept,bot_kept
price×t0,4,10,0.9911,0.1437,0.888,0.9
price×t1,4,10,0.9925,0.1117,0.896,0.912
price×t2,4,10,0.996,0.0688,0.916,0.952
price×t3,4,10,0.9957,0.0675,0.922,0.946
price×t4,4,10,0.9966,0.0703,0.932,0.954
price×t5,4,10,0.9986,0.0404,0.958,0.962
vol×t0,2,10,0.995,0.0869,0.926,0.934
vol×t1,2,10,0.997,0.1155,0.944,0.954
vol×t2,2,10,0.9962,0.1155,0.938,0.96
vol×t3,2,10,0.9958,0.0719,0.934,0.956
vol×t4,2,10,0.9988,0.0503,0.96,0.98
vol×t5,2,10,0.9986,0.043,0.966,0.966
time×t0,2,10,0.9997,0.0225,0.972,0.98
time×t1,2,10,0.9996,0.0183,0.98,0.986
time×t2,2,10,0.9995,0.0192,0.98,0.984
time×t3,2,10,0.9996,0.0228,0.976,0.986
time×t4,2,10,0.9998,0.0143,0.986,0.988
time×t5,2,10,0.9998,0.0181,0.988,0.986
rank×t0,3,10,0.9923,0.1028,0.902,0.908
rank×t1,3,10,0.991,0.1774,0.894,0.894
rank×t2,3,10,0.9917,0.1661,0.912,0.894
rank×t3,3,10,0.9919,0.1529,0.912,0.902
rank×t4,3,10,0.9954,0.1198,0.936,0.93
rank×t5,3,10,0.9946,0.1194,0.942,0.922
feat27×t0,27,10,0.9867,0.241,0.816,0.9
feat27×t1,27,10,0.9859,0.3675,0.766,0.91
feat27×t2,27,10,0.982,0.3121,0.816,0.858
feat27×t3,27,10,0.9851,0.2817,0.832,0.864
feat27×t4,27,10,0.9876,0.2794,0.816,0.894
feat27×t5,27,10,0.985,0.4563,0.85,0.866
xs10×t0,10,10,0.9813,0.891,0.828,0.876
xs10×t1,10,10,0.9825,0.8773,0.834,0.866
xs10×t2,10,10,0.9852,0.7585,0.848,0.876
xs10×t3,10,10,0.9789,0.789,0.824,0.86
xs10×t4,10,10,0.9784,0.9815,0.824,0.86
xs10×t5,10,10,0.9778,0.8465,0.82,0.858
price,4,60,0.9247,0.4287,0.733,0.69
vol,2,60,0.9629,0.3075,0.758,0.844
time,2,60,0.9973,0.0582,0.944,0.964
rank,3,60,0.9154,0.606,0.701,0.708
feat27,27,60,0.7054,0.8748,0.423,0.452
xs10,10,60,0.4128,5.3671,0.194,0.436
row0:o,1,60,0.9968,0.0637,0.936,0.964
row1:h,1,60,0.9948,0.0781,0.91,0.944
row2:l,1,60,0.9819,0.1812,0.81,0.91
row3:c,1,60,0.9868,0.1306,0.854,0.902
row4:v/창평균,1,60,0.9128,0.41,0.679,0.814
row5:v/30일,1,60,0.984,0.1726,0.888,0.858
row6:hour,1,60,0.9998,0.0192,0.986,0.986
row7:dow,1,60,0.9969,0.0604,0.94,0.956
row8:xs_r24,1,60,0.8924,0.4445,0.605,0.728
row9:xs_vol24,1,60,0.8156,0.4648,0.693,0.584
row10:xs_vrel,1,60,0.7661,0.551,0.581,0.594
row11:ret_1,1,60,0.9535,0.2356,0.816,0.814
row12:ret_5,1,60,0.8806,0.6017,0.603,0.684
row13:ret_q,1,60,0.8675,0.5877,0.609,0.644
row14:ret_W,1,60,0.855,0.965,0.611,0.624
row15:vol_W,1,60,0.8314,1.7359,0.617,0.59
row16:vol_q,1,60,0.7174,1.6904,0.477,0.556
row17:vol_ratio,1,60,0.7931,2.0788,0.585,0.548
row18:rng_mean,1,60,0.8364,0.7964,0.615,0.562
row19:rng_last_rel,1,60,0.8239,0.7904,0.621,0.614
row20:pos_W,1,60,0.8311,1.0697,0.573,0.57
row21:z_W,1,60,0.8503,0.4502,0.607,0.64
row22:c_maq,1,60,0.8117,0.8277,0.619,0.582
row23:c_maW,1,60,0.8056,0.5198,0.591,0.558
row24:maq_maW,1,60,0.7287,1.1941,0.477,0.428
row25:rsi,1,60,0.8014,0.6762,0.483,0.524
row26:v_last_rel,1,60,0.7061,1.4463,0.519,0.39
row27:v_recent_share,1,60,0.7887,0.9367,0.563,0.478
row28:qv_rel30,1,60,0.5449,3.051,0.345,0.4
row29:amihud,1,60,0.6917,1.369,0.421,0.524
row30:top5_share,1,60,0.5623,2.5704,0.383,0.352
row31:hhi,1,60,0.4739,1.6596,0.361,0.284
row32:n_spike,1,60,0.5626,2.4705,0.387,0.434
row33:zero_ratio,1,60,0.6434,0.8611,0.383,0.516
row34:updown_vol,1,60,0.4814,1.7274,0.345,0.324
row35:n_big,1,60,0.6537,0.958,0.385,0.558
row36:hour,1,60,0.675,1.0064,0.383,0.502
row37:dow,1,60,0.7682,0.8028,0.455,0.602
row38:xs_ret_W,1,60,0.773,1.6215,0.401,0.624
row39:xs_ret_q,1,60,0.772,1.7259,0.483,0.614
row40:xs_vol_W,1,60,0.7419,2.6229,0.453,0.56
row41:xs_vol_ratio,1,60,0.7119,1.5731,0.463,0.498
row42:xs_rng_mean,1,60,0.383,5.8589,0.273,0.366
row43:xs_qv_rel30,1,60,0.7043,0.8549,0.457,0.454
row44:xs_amihud,1,60,0.5207,4.9609,0.309,0.49
row45:xs_v_last_rel,1,60,0.745,1.78,0.351,0.648
row46:xs_rsi,1,60,0.5946,0.9816,0.395,0.578
row47:xs_z_W,1,60,0.8523,0.5644,0.551,0.75
