seed,2024-06~08_sharpe,2024-06~08_p,2024-06~08_mdd,2024-12~2025-02_sharpe,2024-12~2025-02_p,2024-12~2025-02_mdd,2025-09~11_sharpe,2025-09~11_p,2025-09~11_mdd,2025-12~2026-02_sharpe,2025-12~2026-02_p,2025-12~2026-02_mdd,pooled_sharpe,pooled_p,pooled_mdd,holdout_2026-03~05_sharpe,holdout_2026-03~05_p,holdout_2026-03~05_mdd
0,3.23,0.03,-2.9,3.57,0.0162,-4.6,2.69,0.0214,-4.6,2.78,0.043,-3.6,2.92,0.0001,-4.6,3.86,0.0019,-5.4
1,3.89,0.0713,-3.8,2.45,0.0641,-4.8,3.06,0.0114,-3.4,0.22,0.4425,-5.6,2.29,0.003,-5.7,4.56,0.0002,-3.6
2,1.85,0.1813,-2.1,4.28,0.0256,-2.4,2.97,0.0122,-3.1,1.12,0.2669,-4.0,2.46,0.0016,-4.0,2.24,0.0285,-5.0
3,4.6,0.0593,-4.6,3.13,0.0475,-4.9,2.36,0.0458,-5.3,2.06,0.1011,-3.3,2.75,0.001,-5.6,1.56,0.1097,-8.4
4,3.95,0.0245,-2.3,4.46,0.0221,-3.8,2.43,0.0516,-5.1,2.84,0.0365,-2.3,2.95,0.0004,-5.1,1.71,0.1129,-6.3
5,5.93,0.0001,-1.1,5.02,0.0007,-3.3,2.38,0.0177,-4.9,3.1,0.0208,-2.9,3.64,0.0,-4.9,3.94,0.0012,-5.5
6,3.76,0.0489,-2.5,7.05,0.002,-2.3,1.55,0.1311,-5.7,1.5,0.1632,-4.1,2.61,0.001,-5.7,1.39,0.1779,-5.4
7,5.1,0.0211,-2.7,2.18,0.1051,-5.1,2.96,0.0088,-4.8,2.72,0.0861,-3.0,3.02,0.0002,-5.1,2.22,0.0361,-6.1
8,2.05,0.0436,-2.8,3.92,0.0222,-3.9,2.39,0.027,-5.2,2.26,0.0763,-3.3,2.65,0.0004,-5.2,2.65,0.0373,-5.8
9,3.62,0.0231,-2.8,4.53,0.0126,-3.8,2.76,0.0365,-4.8,3.55,0.0171,-2.3,3.23,0.0001,-5.3,1.98,0.0226,-9.1
