variant,fold,sharpe,t,p,mdd,final,days,ev_cov,dSharpe_vs_cnn,ci_lo,ci_hi,p_le0
cnn,0,2.28,1.31,0.0959,-3.3,1.0661,90,,,,,
gbm,0,1.18,0.8,0.2113,-5.6,1.0471,90,,,,,
mix,0,1.18,0.88,0.1902,-4.7,1.0412,90,,,,,
wev,0,3.38,1.65,0.0497,-3.0,1.0938,90,0.998,,,,
wiv,0,2.79,1.53,0.0635,-3.0,1.0798,90,,,,,
wevi,0,3.27,1.72,0.0425,-3.1,1.0973,90,,,,,
gate,0,3.28,1.63,0.052,-2.7,1.0776,90,0.998,,,,
cnn,1,2.92,2.25,0.0122,-4.2,1.1557,106,,,,,
gbm,1,1.54,1.33,0.0911,-5.7,1.0864,106,,,,,
mix,1,2.42,2.13,0.0167,-5.3,1.1322,106,,,,,
wev,1,2.88,2.21,0.0134,-4.1,1.15,106,0.998,,,,
wiv,1,2.68,2.3,0.0108,-4.6,1.154,106,,,,,
wevi,1,2.7,2.29,0.0109,-4.3,1.1542,106,,,,,
gate,1,2.36,1.81,0.0352,-3.7,1.1041,106,0.998,,,,
cnn,2,4.95,2.42,0.0079,-3.1,1.1743,105,,,,,
gbm,2,3.23,1.96,0.0247,-6.7,1.155,105,,,,,
mix,2,4.29,2.32,0.0101,-5.1,1.1997,105,,,,,
wev,2,5.04,2.49,0.0064,-2.9,1.1863,105,0.996,,,,
wiv,2,5.43,2.97,0.0015,-3.0,1.2109,105,,,,,
wevi,2,5.33,3.03,0.0012,-3.4,1.2247,105,,,,,
gate,2,5.58,3.08,0.001,-3.0,1.1601,105,0.996,,,,
cnn,3,5.59,2.35,0.0093,-2.3,1.1236,107,,,,,
gbm,3,4.5,2.16,0.0155,-2.3,1.1282,107,,,,,
mix,3,5.36,2.37,0.009,-1.9,1.1366,107,,,,,
wev,3,5.82,2.54,0.0056,-2.1,1.1365,107,0.998,,,,
wiv,3,6.81,3.16,0.0008,-1.3,1.165,107,,,,,
wevi,3,6.73,3.33,0.0004,-1.4,1.1817,107,,,,,
gate,3,5.14,2.48,0.0067,-1.4,1.0863,107,0.998,,,,
cnn,pooled,3.53,4.06,0.0,-4.2,1.6257,408,,,,,
gbm,pooled,2.3,3.08,0.0011,-6.7,1.4823,408,,-1.23,-2.39,0.06,0.968
mix,pooled,3.0,3.8,0.0001,-5.3,1.6073,408,,-0.54,-1.23,0.33,0.851
wev,pooled,3.87,4.35,0.0,-4.1,1.6959,408,,0.33,-0.04,0.64,0.04
wiv,pooled,3.86,4.78,0.0,-4.6,1.7578,408,,0.32,-0.25,1.0,0.124
wevi,pooled,4.03,4.99,0.0,-4.3,1.8328,408,,0.49,-0.2,1.3,0.085
gate,pooled,3.56,4.27,0.0,-3.7,1.4992,408,,0.02,-0.78,0.92,0.462
